id,title,date,content
135,Pláč,pondělí 7. října 2013,"Bezmocný pláč až do svítání
otisky na okenních sklech
hořící srdce v dlaních
Tvé jméno na mých rtech

Slzy hořké jak pelyněk
ze rtů Tě nesmývají
polykám ten divný lék
jed ze starých zašlých bájí

Pak, když slunce vejde tiše
neslyšně otevře oblohy vrátka
zhluboka připije mi z číše
básnířko bosá, na to jsi krátká…"
136,Volavky popelavé,čtvrtek 10. října 2013,"Bez Tvých slov se den vleče

každá vteřina ze mě odplavuje cit
Tvůj pohled na duši mě svleče
v těch očích chtěla bych se utopit

Srdce hoří, krev se v žilách pění,
však příliš rychle vzplálo, pozdě hledat lék
a srdce doutná, pomalu se v popel mění
pak už jen vzlétne jako hejna šedých volavek"
137,Pozdrav,úterý 22. října 2013,"Léto nás ještě dnes pozdravilo,
s barevným listím si zatančilo,
usmálo se a v tváři mělo dolíček,
i andělé oblékli se do triček.

Kytice barevného listí
podzim pro zimu vzduch čistí.
Na chvíli svět zastavil se v snách
a já tu stojím s blátem na botách."
138,Proud,sobota 26. října 2013,"Dívám se, jak tiše spíš..

na kůži přitisknu rty – pohneš ramenem

vidíš mi do srdce – jenom Ty smíš

probdělé noci dávno jsou splacené

Kdo jsem já? Jen list, jenž klouže po hladině

splyne s ní, odpluje po proudu – moje duše

nejdřív se na vodě houpe líně

pak po kamenech rychle kluše

Po odehrané epizodě

když už svou vlastní tíhu neunese

v té chladné hebké vodě

na konci své cesty.. rozplyne se"
139,Setkání,čtvrtek 17. října 2013,"Hvězdy se setkaly a klábosí,
co které se dnes bude zdát.
Utichnou až k ránu za rosy,
na trojlístku si spočítám, jestli mě máš rád.

Jejich c  inkání do uší
je tichoučké jako zpěv motýla,
s večerem pohladí na duši,
když něha Tvá někam se ukryla."
140,Slova,pátek 25. října 2013,"Občas, když hvězdy s nocí
roztáhnou svoje sítě,
v souhvězdí Labutě zahlédnu
zastřený nápis ""Miluji Tě""

A vždy, když Deneb vidí tato slova
z oblohy shlédne – zvědavost jí nedá
tváře jí zrudnou do nachova
i když je jinak velmi bledá..

Rukama podám si ta něžná slůvka

a hvězda závistí zas zbledne

v noci je vidíme já i ona,

však jen moje jsou ve dne…"
141,U krbu,sobota 5. října 2013,"Noci nenápadně přibývá,

měsíc se vypravil na potulku.

Pohladí hvězdy, pak jim zazpívá

a před spaním zapálí si lulku.

Ty zapal v krbu oheň, ať hoří
a přihoď ještě polínko,
budu dnes královnou sedmi moří,
sklouzne mi od šatů ramínko.

Pak cestou ve vlasech
vydáš se prsty na výpravu,
já poškrábu Tě na zádech,
už zase Tě mám plnou hlavu."
142,Díky,sobota 30. listopadu 2013,"Díky, že jsi, že mě držíš zkrátka
vidíš mě nahou, bez pozlátka,
že stojíš tam, kam padám
a mlčíš, když se hádám.
Že mě rozesměješ, když mám strach
a marně bloudím v pochybách.
Občas však trochu váhám
v očích mě slzy tlačí
rukama na duši sahám
a nevím, o co kráčí.
Jsi blázen, když si myslíš,
že mi stačí
noc co noc znavená
usínat na bodláčí…"
143,Otázky,pondělí 4. listopadu 2013,"Kolik tak váží moje touha,
a jak je pevná moje víra,
když noc za nocí je dlouhá,
když denně srdce úzkost svírá?

Což nevíš – žádat lásku anděla
sváže mu křídla docela?
Proč jsi jak tvrdohlavé dítě
říkal to něžné ""miluji Tě""?

Bojím se lží ze soucitu
a hlavně ničím neublížit
neklidný spánek do úsvitu..
Co já? Jen polknu, vzhlédnu k mřížím

které mi nedovolí letět.
Proč jen já musím vědět,
co jiní vědět nechtějí?
A co když ubližuješ nadějí?

Co uděláš, až ocitne se
její tvář nablízku té Tvojí?
A budeš vědět, že jen pohlazení
muže v lesklé zbroji,

že jen políbení její vášeň zhojí?
Co uděláš? Přijmeš pod obojí?
Mám strach, že dlouze políbíš jí ústa
a ona zašeptá jen: ""Zůstaň..""

Já za sebou pak zavřu tiše dveře,
už nikdy více nenechám se z cesty svést,
utopím se ve své nedůvěře,
už nikdy nechci dotýkat se lásky jako chladných hvězd.."
144,Ruce,úterý 19. listopadu 2013,"Zdalipak víš, jak voňavé
hladké jsou Tvoje ruce?
Na hřbetech chmýří zlatavé
jak proužky slunce na antuce.

Ještě mi teple dýcháš na záda,
mé vlasy zlehka vískáš.
Nepřiznávám to nerada –
mně už se dávno stýská…"
145,Slunce,úterý 26. listopadu 2013,"Nad moře k slunci vzlétnout
letět nad bílou pěnou
nad hladinou pokaždé jinou
a přitom nezměněnou

Tys moje slunce, před nímž klečím
a které nikdo nezastíní
neboť jen Ty rozumíš mé řeči
jenom Ty vidíš, co míjeli jiní

Před Tebou skláním hlavu a skládám zbraň
jen Ty smíš vnořit své prsty do mých ran"
146,Šplouchání,středa 13. listopadu 2013,"Když ztichne den, v temném pokoji
noc co noc pod mojí peřinou cosi šumí
to moje srdce koupe se v příboji
slyším jak jeho    údery   zpěněná krev tlumí

Tichoučké šplouchání vln do spaní
cítím až sem slanou mořskou vůni
chci utopit se ve Tvém šeptání
a ve Tvých očích jako v tůni…"
147,Strach,úterý 12. listopadu 2013,"Snad vrátíš se ještě,
princi můj na bílém koni,
jenž v  provazech deště
pokorně hlavu kloní.

Čekám tu na Tebe – věrná,
stojím za oknem, hvězdy blikají.
Noc byla černější než černá
a první ptáci v parku zpívají.

Napínám uši – chci slyšet klapot kopyt.
Ty se však ztrácíš v prachu.
Necháš mě v klidu hořkost dopít.
Necháš mě napospas mému strachu…"
148,Svatomartinská,čtvrtek 14. listopadu 2013,"Svatý Martin chystá se do polí
od koňských podkov hvězdy mrholí
jiskří a potichu blýskají se
v oranžovém svitu lampy u silnice"
149,Talisman,pondělí 11. listopadu 2013,"Tolik se na Tebe těším, tolik mi scházíš
Nepočítám večery, kdy do snů mě doprovázíš

Už teď se mi stýská po časech, které nenastanou
tiše Ti mávám, Lásko, mávám na shledanou

Budeš mít ještě mnoho ženských těl, než probudíš se stár

snad Tvoje dlaně nevychladnou, neztratí všechen žár

Pak Tvé ruce spočinou na mých hladkých ramenou
Bože, dej, ať potom navždy tam zůstanou

Však ještě  bez sebe budeme sami snídat mnoho chladných rán
do té doby snad schováš mě v srdci svém jako talisman"
150,V mlze,pátek 15. listopadu 2013,"Zahrada celá v bílé mlze,

jak v krajkách z mořské pěny.

Otevřu okno, zhluboka   nadechnu se,

zašeptám – v krajce je díra od ozvěny..

A možná je to jenom finta,
pojednou z mlhy hejno racků stoupá

– jak přízrak – loď kapitána Flinta
v mé zahradě se houpá.

Mořského vlka, myslím, budu znát.
Pod bílým vousem usmívá se,
v košilce dovolí mi u kormidla stát,
snědýma rukama mě chytí v pase."
151,V mracích,sobota 30. listopadu 2013,"Vysoko v mracích spí náš hrad,
v něm zlatý trůn a Ty jsi samet.
Čekáš tam na mě…
…. máš mě rád?
Často se s ránem plížím na med.
Vyhnu se konečně chybám?
Proč šeptám v tichu pokoje,
když Tě tak horečně líbám,
že vše, co mé je, Tvoje je?
Jsem Tvoje celá, Ty to víš.
Co zdává se Ti asi?
Zatímco v klidu sladce spíš
sleduji Tvé chvějící se řasy…
…
Jsem jenom malá lesní včela,
bojím se výšek, trpím závratí.
Kdybych snad někdy uletěla,
tak se už nikdy nevrátím…"
152,Víla,čtvrtek 7. listopadu 2013,"Za noci dešťové kapky ťukají do oken
v rytmu mých rukou tančících v klávesách
Prsty se dotýkat souhvězdí zlehka jen
těch hvězd jako zrníček písku  na dunách

V košilce víla stojí na zápraží
dívá se do tmy – podzimní déšť trochu zebe
zářící vesmír objímá hladkou paží
a mýma rukama obejme pevně Tebe."
153,Život,úterý 19. listopadu 2013,"Stárneme a v ústech verše s námi
mění se, mutují, na cestě pustinami
v ústech usychají sliny
my stárnem sami, i když s nimi

Stárneme a s námi naše řádky
a někdy není chvíle
ohlížet se zpátky

Stárneme a s námi naše básně
pomalu šednou
i když dřív nám zněly krásně

Stárneme a také naše lásky
a někdy celá léta
zdají se být smutná

A všichni víme
– bez nadsázky –
že o to víc nám život chutná…"
154,Až,pondělí 16. prosince 2013,"Až budeš sám,
až budou padat vločky
na okenní rám,
až políbí Tě první noční
hvězda na čelo –
jako já,
až ucítíš, že jasné nebe
ztemnělo,
až běloučký den zahalí se
v plášť,
vzpomeň si na mě,
na moje oči
a na to, že mě máš…"
155,Bůh,sobota 14. prosince 2013,"V mlhovině znavený po další ze svých cest
odpočívá, louská jádra hvězd
Mé rozpraskané srdce vidí
Bůh – obyvatel suterénů a lidí"
156,Hotel na měsíci,úterý 31. prosince 2013,"Sleduji tajemný pětník v černé obloze.
Tváře mu zbledly, jak by je kdosi polil mlíkem;
někdy se skrývá za mraků přehozem.
Tam vlevo, kousek nad rovníkem,

to není jenom tečka, to je víc,
vždycky, když koukám na Měsíc,

vidím tam nápis písmem zvláštně skloněným
navždy do kamenného pláště vrytý,
září tam pro mě jasnými písmeny,
ačkoli hvězdářům je skrytý.

O krasopisu na Měsíci často zdá se mi,
když v oknech zhasnou světla svící.
Kdybych snad nenašla své místo na Zemi,
tak mám svůj malý hotel na Měsíci.

Místečko pro sny, zapomnění a něžný hvězdný déšť,
místo pro návraty a cokoliv si vzpomeneš…"
157,Maják,neděle 8. prosince 2013,"Jednou, až jejich hvězda zhasne,
pak mořské víly promění se v pěnu.
Zůstanou pro svět i tak krásné..
navzdory tomu přesmutnému věnu

V podobný den duše námořníků dostávají křídla
a v hejnech racků křičí za zádí,
mávají perutěmi bílými jak křída,
před nebezpečím varují, či jenom v slaném větru dovádí

Jeden z těch racků nad mořem si nezakřičí,
jeden tu chybí, nikdo ho nechytí.
Místo něj – uprostřed vln se maják hrdě tyčí,
zažehnu uvnitř oheň a on se do tmy tiše rozsvítí…"
158,Nocí,pátek 13. prosince 2013,"Zchladit si horkou hlavu
srdce jako lávu
Ulicemi nočního města zpaměti.. ze zvyku
Přehlušit tíseň, pořádně osolit muziku

Pomalu potom zchladit lávu
Lehnout si, usnout, ráno vypít kávu
Hrníček hodit do zahrady na jinovatku bílou
a střepy srdce zkusit slepit – pokud něco zbylo…"
159,Peřeje,čtvrtek 12. prosince 2013,"V podzimních peřejích
milion kapek půvabu
To nejsou moje sny, co ke dnu se snášejí,
to jsou jen černá pírka čápa marabu."
160,Pláč,neděle 15. prosince 2013,"Tlumené vzlyky pod dekou
tlukoucím srdcem jenom neprobudit den
před sebou ještě cestu dalekou
pro předem nesplněný sen
vlasy barvy vybledlé svatozáře
prsty v křeči zabořené do polštáře"
161,Pod jmelím,pátek 20. prosince 2013,"Sněhové hvězdy tma rozsvěcí
Ve vánočním království zimy
všechno se může stát
Stýská se, ale chci zůstat nad věcí
Budu si večer pod víčky
šeptat: Má mě rád…

Odevšad slyšet je zvonků zvonění
Zlatavým jiskřením jehličí ševelí
Celý dům lesem se provoní
Lásko má, chtěla bych polibek vtisknout Ti pod jmelím…"
162,Podzim,čtvrtek 5. prosince 2013,"Těším se na sněžení listí,
co padá z dubů, z buků,
na první rozbřesk, rozednění,
na rána plná ptačích zvuků
na Tvoji tvář,
až moje řasy otevřou svá vrátka,
sluneční zář,
která je na podzim tak sladká.
….
S Tebou mám ráda
i studivý listopad.
Zima se nenápadně vkrádá,
to Tys mě učil mít ho rád.
…
Až objeví se v polích první sněhy
a ztuhlá zem se k spaní uloží,
otevřeš pro mě dlaně plné něhy,
oheň se v krbu teple rozhoří.
Budeme spolu čekat jaro
a každý rok se láskou prozlatí.
Můžem to rozjet plnou parou,
i kdyby chudí, budem bohatí…"
163,"Přání dobrých nocí, měsíc, hvězdy a sny",sobota 14. prosince 2013,"Napiš mi, prosím, vzkaz na Měsíc.
Napiš jen ""DOBROU NOC"" a nic víc…
…………..
Nebe dnes hvězdami se jenom hemží,
to nejsou hvězdy, ale hejno žluťásků.
Po Mléčné dráze pádím, ruce na otěžích,
tato noc stvořená je pro lásku
…………..
Vlna se tříští o kamení,
hlasitě šumí na znamení,
že všechny kapky promění se
v něžné sny psané krasopisem.
…………..
Po nebi putoval srpek měsíce,
nahnul se k oknu, zlehka zaťukal,
maličkou slzou uhasil plamen u svíce
a noční oblohou plul zase dál…
…………..
Kdosi cvrnkl do kuličky slunce
a ona zapadla do důlku v oblacích
na hřebeni horu orazila zlatým puncem,
paprsky ztmavly v rudých náznacích
…………..
Dotknu se Tvojí dlaně dlaní,
prsty se spolu náhle spletou,
do vlasů mrholí sny z hvězdných saní
zapřažených za kometou.
…………..
Po nebi hvězdy se rozutekly,
pobledlý měsíc jenom žasne
ve tmě si svoje šaty svlékly
teď nahé září nocí a jsou krásné…
…………..
Dnes v noci hvězdičky jak husy štěbetaly,
na jediném snu suchou nit nenechaly…
A tak, kdo dnešní noc o ně bude stát,
musí si trošičku vlhký sen nechat zdát..
…………..
Kdo slyší šepot křídel andělských,
kdo zahlédl jej mezi šedivými dny,
jakoby jen vánek na něj dých..
Ten ví, že anděl nosí v srdci jeho sny
…………..
Včera sny pro vás zvlhly deštěm,
podzimní počasí bývá tak nestále..
Suším je na šňůře, počkejte ještě,
kolíčky srovnám jak korále.
…………..
Jak hvězdy třpytivé
budou mé sny, když lezu na kutě,
jak sněhové vločky jiskřivé,
jak hvězdy z per souhvězdí Labutě.
…………..
Chytla jsem hvězdu – malou jen –
aby dnes zdál se mi něžný sen.
Sny jsou prý úkolem létavic.
Však otevřu dlaň a na ní – nic…
…………..
Dosrkala jsem čaj s mátou,
dlaň mám ještě rozehřátou
Je hladký můj čajový hrnek
a jeho dno – bílý kruh – jak úplněk…"
164,Přání,úterý 31. prosince 2013,"Starý rok láme se jako led na rybníce.

Křupne to, na nebi zahoří létavice,

čas zlomí se jako uschlý prut,

kéž ze srdce nám nezbude jen suť.

Ať dny neplynou nikdy hluše,

láska nechť spasí naše duše..

Ať naděje vždy máme plné ruce

a život nechutná nám trpce.

Každému jeho šálek kávy,
ke kávě samé dobré zprávy,
do hvězdného nebe šťastný vzlet,

příznivý vítr lodím do plachet."
165,S půlnocí,sobota 7. prosince 2013,"Lásko má jak mraky sivá,
ráda se na Tebe jenom tak dívám.
Lásko má – lilie bílá,
chtěla bych pro Tebe tančit jak víla.
Lásko má, čistá jak nebe,
pro Tebe hraju půlnoční reggae.
A když Tě navečer myšlenky zebou,
jen přivři víčka – já jsem s Tebou."
166,Sněží,čtvrtek 5. prosince 2013,"Už zase hvězdy sněží,
každá z nich dokonalost sama,
každá je bíle svěží
skoro tak, jako moje máma.

Znovu a znovu lámu tuhy,
Ty už jsi daleko a dávno budeš spát…
Ať si to zkusí někdo druhý
na papír psát, že dávno skončil listopad.

Děti se ptají: ""Kolik, kolik ještě dní?""
sněhový mech leží na horách,
večery začínají býti sváteční,
Vánoce okopávají práh…"
167,Svědomí,pátek 20. prosince 2013,"Jsi moje bolavé svědomí
Jediným pohledem lámeš mou duši
Kolena se mi podlomí
Slova jsou šípy a Tvé rty kuší

Ležím tu sama v nočním tichu
Zoufale toužím cítit Tvá ústa
Nemůžu spát – já, nádoba hříchu
Ve mě se prostírá jenom pláň pustá

Tvá bolest s mým tělem splynula
Chtěla bych pro Tebe být růže čistá
V dešti smýt špínu a stíny z minula
Darovat Tvé lásce netknutá místa"
168,Do snů,pátek 17. ledna 2014,"Venku je tma hustá jak čokoláda
hvězdy jsou sladké oříšky
konečky prstů sáhla bych si ráda
na Tvoje záda, Tvou kůži cítit pod bříšky…

Tou nocí vznesu se teď do snů
roztáhnu křídla, vlétnu mezi mraky,
do Tvého spánku tiše vklouznu
Ještě že křídla mám, vždyť nebe není pro pěšáky"
169,Když,pondělí 27. ledna 2014,"Když jsi smutný, mraky jsou plné sněhu,
zastíní temně oblohu.
Chci Ti dát všechnu svoji něhu,
však na tu dálku nemohu..

Chodím odnikud a do nikam,
a bloumám ztichlou ulicí,
pavilon snů dnes zamykám,
v něm cinkají sny vonící.

Co bych to byla za anděla,
který neumí fouknout do dlaní?
Opřu se do těch kouzel zcela
a nádherné sny letí k Tobě do spaní."
170,Koupel,čtvrtek 30. ledna 2014,"Na stropě odrazy odlesků hladiny
ve vaně bílé jak já kdysi bez viny
dva ostrůvky se noří z vody
jak majáky varující lodivody"
171,List,neděle 19. ledna 2014,"Ze stromu snesl se list
jako když gong mě ohluší
lupnutí a potom tichý svist
ten zvuk mne zasáhl až na duši"
172,Modrá stuha,pátek 3. ledna 2014,"Ve svitu slunce odlesky holubích křídel…

Letět tak s ptáky až nad oblaky,

nad komíny a střechy lidských sídel,

po cestě zamávat na papírové draky.

Opustit orbitu, vesmírem plout oděná do tuniky,

uvázat modrou stuhu jemnou

do zářivých tajemných Vlasů Bereniky.

Ty své pak ustřihnu jak ona, jen abys tu byl se mnou…"
173,Nečas,čtvrtek 23. ledna 2014,"Všude jen sníh, i pod mou peřinou
napadal do dlaní
jak vločky chci se rozplynout
nevidět další svítání

Vítr, co hnal mě vždy vpřed
rozerval plachty a nové vichry dují
snad přes sebe přehodit pléd
Tuším… Už nikdy nevypluji"
174,Nepokoj,neděle 12. ledna 2014,"Tys chtěl, abych to byla já – pro Tvou lásku

Jsem hloupá romantička. Tuším, že se mi to vymstí

Nechám se Tebou vodit jako na provázku

Nikdy si nemůžeme být tím druhým jistí..

Láska mi vnesla v srdce tolik nepokoje…

Necítit denně Tvoji blízkost, to mě zničí

Bylo by snadné, přitisknout se, vědět, že jsem Tvoje

Už vlastně neumím být ničí

Nejde mi vtěsnat moje city do hlubokých vět

S každým ránem už nečteš mé dívčí říkání

Některé věci nejdou vrátit zpět

Chtěla bych, ať Ti jednou chybí moje vyznání…."
175,Okno II,sobota 4. ledna 2014,"Okno je kouzelná brána
kde můžeš na chvilku
abys mě políbil na ramena
odhrnout mou košilku.

Okno je sladký příslib
že okusíš mé vůně
až hlava se Ti zatočí
když Tvé srdce stůně.

Okno je symbolem něhy
večeře při svíčkách
když našich řek zmizí břehy
a houpat se budeme na vlnách."
176,Pavouk,sobota 18. ledna 2014,"Pavouk se spustil z pavučiny
až z Velkého vozu, kde pavouci být nesmějí.
Přinesl slzy princezniny,
v nich sny a ve snech naději."
177,Pomoc,pátek 17. ledna 2014,"Pomoz mi žít, Ty, který umíš
otevřít zámky dotykem prstů
anebo jenom slovem
Ty, který jediný smíš
dívat se zblízka a do rtů
rty šeptat věty snové

S Tebou se necítím jak v kleci,
ač umíš mou duši na dřeň svléci.
Víš, máš talent na víc věcí…."
178,Tíseň,čtvrtek 9. ledna 2014,"Podivné ticho zvenku proniká
za okny mlha jako hladká mouka
studené ruce, v očích panika
na zahradě kotě smutně mňouká

okolo mého srdce pluje tíseň
otře se líně o pravobok
potom se splaší, ržá jak stádo klisen
otevřu okno, udělám ke tmě krok

rázem můj zrychlený dech
utíká po hřebenech střech

a zastaví se vprostřed noci.
Tu, na louce z hvězd se pasou
jednorožci útlobocí
se svojí hřívou dlouhovlasou

na mou bílou dlaň jako posel
snesl se velký tmavomodrý motýl
ulehnu do trávy a v rose
utopím všechny nejistoty…."
179,V proudu,čtvrtek 2. ledna 2014,"Svaž mi ruce.. a pusť mne po řece

jak věnec z fialek, který se v proudu točí

Udělej to s úsměvem a lehce,

ať poslední, co uvidím, jsou Tvoje oči"
180,Všedno,středa 15. ledna 2014,"Utrmáceni všedností,
jež zalézá až do kostí,
pod dekou stočená do klubka mlčení,
když vím, že slova nic nezmění.
S hloupou nedůvěrou v patách…
Už žádné: Zásah! Zásah! Zásah!
Motýli z hrudí jsou ti tam…
odlétli jak od řeky kormorán.
…
Však jako včera cítím rozechvění,
když poprvé mě strhla vlna Tvého políbení,
odněkud z dálky melodie Tvého hlasu,
dotek Tvých prstů.. ruka kolem pasu…"
181,Co když..,čtvrtek 6. února 2014,"Co jestli mě nepodržíš,
až budu padat po zádech…
Co když to vlastně ani nevíš,
že právě teď mi došel dech…

Co když už se nenadechnu
a voda za mnou zavře se
jak poraněné zvíře zdechnu
a svit z mých očí proud navždy odnese…"
182,Hřích,pátek 7. února 2014,"Políbil jsi mě do vlasů
a tím jsi do nich zaklel hřích
poznám Tě po vůni, po hlasu
podle Tvé siluety ve dveřích…

Poslepu dech Tvůj v pomlkách
poznám.. má vlastní rytmus v tichu znící
chvění našich těl v prolukách
vykreslí siluetu v svitu svící

Zavřu oči a vím, kdybys tu byl,
jistě bys moje vlasy zase políbil…"
183,Obloha,úterý 25. února 2014,"Před domem v tričku je chladno
předčítáš tiše z noční oblohy
souhvězdí malba je a obloha plátno
hvězdy se smějí jak dortíčky z výlohy

Zimou nám drkotají zuby
vnímáme dech beroucí krásu
když jedna z hvězd se řítí do záhuby
aby se zapletla Labuti do ocasu

Lampář dnes hvězdy musí pozhasínat
Ty už je nezhasneš, protože usínáš
jen jasný Jupiter se může oknem dívat
jak ve spánku mne objímáš…"
184,Posviť..,pondělí 3. února 2014,"Jsme malé ostrovy, plujeme oceánem,
světélkujeme temnou nocí
Posviť mi.. ať shledáme se spolu s ránem,
nenech mě, prosím, bez pomoci…

Nevidím hvězdy, mléko se nebem rozteklo
přestávám věřit zázrakům…
často mám k Tobě tak daleko –
dál než k bílým oblakům…"
185,Říkání,úterý 18. února 2014,"Řekni mi slovo.. a já je opředu
něžnými rýmy jak krajkami sněhu na větvích
a velkou hvězdu vetknu do středu
ta vločka po slovech pak steče v krůpějích

Usměj se na mě a Tvůj úsměv
vtisknu si jako pečeť pod víčka
pak na čelo do spaní políbit zkus mě
ten polibek do noci bude svítit jako bludička"
186,Šero,středa 5. února 2014,"Na dveře jak déšť padá tma
obejmi mě a sejmi tíhu z ramen
noc zdá se být dnes bezedná
v srdci jen jiskra.. žádný plamen

V nočním šeru … tiše si spolu šeptáme
vnímám jen pohyby Tvých rtů
Tvůj hlas, příběhy dosud neznámé
jsou visutým mostem mých snů"
187,Ve svitu měsíce,neděle 9. února 2014,"Ztracená v poušti nevyřčených slov
měsíc zpopelaví, až překročí nov
v tom svitu uprostřed noci mě chraň
polož mi do dlaně Tvou horkou dlaň

Jen Ty smíš vidět mé tělo bez retuše
smíš znát, co váží moje duše

Do srdce vrýt punkové ornamenty
všechno a víc… to smíš jen Ty"
188,Záře,úterý 11. února 2014,"Měla jsem strach, dívala se kradmo
slunce mezi stromy jako plamen svíce
Tys prolétl mým srdcem na dno
rychle a tiše jako létavice
hvězd spadlých na zem dotýkat se není radno.

Té hvězdy jsem se dotkla.. nepropadla k zemi
vezmu ji do dlaní, ať se v srdci neutopí
září tak krásně .. nejjasněji mezi všemi
Jak Vega, nebo jako hvězda v Kentaurově kopí
září Ti v očích, když probíráš se mými kadeřemi…"
189,Kámen,pondělí 3. března 2014,"Nemůžu mluvit, slova bloudí
ze rtů nevychází ani hláska
jak bývá jednoduché .. soudit
kde spává úcta.. a kde láska?

Pod jazyk trochu arzeniku
když srdce praská, jak se láme
co na srdci, to na jazyku.
A na srdci… kámen."
190,Kolíčky,neděle 23. března 2014,"Tichoučké cvakání prádelních kolíčků,

jak vlny houpou lodí.. Den už se sešeřil

ještě tak zůstaň.. jen malou chviličku.

hlaď mě a pak spolu zalehnem do peří

Políbím Tvoje lopatky, dnes přitulíš se Ty

kolíčky budou povídat: ""cvak, cvak, cvaky""

baví mě s Tebou zavádět novoty

a ve Tvé náruči prožívat zázraky…"
191,Květina,úterý 25. března 2014,"Jednou ses smál, že píšu o duši,
o snech, o hvězdách a Venuši.
Tvá duše je rozpínavá květina
a jak v Malém princi – pro mě jediná"
192,Mapa světa,pondělí 31. března 2014,"Prázdná krabice a na dně nic.
Chci zamknout za víčky odraz Tvé duše
obtisknutý do mých zřítelnic
jak celý vesmír modré tuše.

Ve spáncích krev tupě buší.
Bylo to snadné? Mít právo veta?
My oba příliš slepí a příliš hluší…
Bylo to snadné, vymazat mé srdce z mapy Tvého světa?

Nechci už otevřít oči se svítáním..
Souhvězdí mlčí a já nevěřím ve znamení.
O důvod méně se probudit.. bez Tebe, bez Tvých dlaní..
O důvod méně někdy značí, že už tu žádný důvod není.."
193,Mořské víly,úterý 25. března 2014,"Mořské víly, když se přioblečou
do šperků, slzy po Tvářích jim tečou
a stěžují si mořským koníkům,
že náramek neovinou kolem kotníku…"
194,Mys Dobré naděje,středa 26. března 2014,"Každý den bez Tebe má pachuť čekání
každá noc ubere mi síly
Na šikmé ploše držím se a ona se naklání
dívám se do očí šestihlavé Skilly

Odpoutej loď, zapomeň smutky bezvýznamné
vím, že jednou spolu dospějem
Vypluj, prosím, a počkej na mne
u Mysu Dobré naděje"
195,Na okraji,středa 12. března 2014,"Být motýl, pohladím křídlem tenkým

na Tvém rtu malou prasklinu

sednu na okraj sklenky

opilá Tebou utopím se ve vínu

Však nejsem motýl bohužel

jen černý anděl bez křídel

a dávno z mých rtů setřen pel"
196,Návrat,úterý 25. března 2014,"Zapadá slunce ve zpětném zrcátku
v uších mi zní Tvůj ostýchavý smích
buší mi srdce jak klapot podpatků
na dlažbě… a uvnitř něj… hřmí"
197,Oči,čtvrtek 20. března 2014,"Když po nebi jdou mraky jako černé saze
když příliš pomalu se Země pro mne točí
ztratím se tiše na oběžné dráze
vidím miliony hvězd – září jak Tvoje oči

Pohledy střetnou se a v nových světech bloudí
Hledám v těch očích trochu roztržitě
pro mne v nich živá voda proudí
v tom třpytu koupu se jak malé dítě

Ucítím dotyky Tvých horkých dlaní
kterým se nikdy neubráním
pak naše těla ztratí svoji váhu
vzlétneme spolu na oběžnou dráhu"
198,Pátek,pátek 14. března 2014,"Dát sbohem svojí svobodě

já, Pátek, čmárám na papír

pak listy pouštím po vodě

snad můj vzkaz Tě překvapí

Vězněm na pustém souostroví

mezi liánami spícími
popíšu celou knihu slovy:

""Chybíš mi…"""
199,Střepy,středa 5. března 2014,"Kdybys směl prohlédnout zblízka mé duše odlitek,
snad uvěřil bys, že jsem jenom Tvoje.
Znovu pra… znovu pra.. znovu prasklá deska výčitek,
bolavých krutých slov celé ohňostroje…

Pak já a moje srdce rozmetané pod nohama davu.
Než Ty, těžko mne už víc kdo svlékne.
Klečím a čekám, až setneš moji hlavu.
Prosím…posbírej ty střepy, slep mne."
200,Tma,úterý 25. března 2014,"Polož mi ruku kolem ramen…
Tma dávno sedla na parapet
v krbu už dohořívá plamen
pro mne jsi jediný můj svět

Pohladím Tvou ruku, kdy si jen vzpomenu
přitáhnu teplou deku na nohy
spolu si v mihotavém světle plamenů
budeme promítat stínohru s vlastními příběhy

Pak řasy mi ztěžknou, hladíš mě po zádech,
zavřeš mou knížku a přitulíš mě jako dítě
za krkem hřeje mě Tvůj dech
jen stačím ještě zašeptat: ""Miluji Tě…"""
201,Tracyho tygr,neděle 23. března 2014,"Můj tygr už spí líně na podlaze,
nikomu jinému, než mně, nepatří,
zavřené oči, usmívá se blaze,
počítá květy, které nikdo nespatří."
202,Tečky,pátek 7. března 2014,"Tři tečky za větou jsou zamyšlené ticho

když myšlenky jsou smutné svojí tíhou

Tři tečky… němý otazník

slova, která nikdy nezazní

jak stopy v čerstvém sněhu

tři tečky skrývají mou něhu

Tři tečky můj vzkaz předat umí,

jak Amazonka za slovy jen šumí…"
203,Ty,pondělí 3. března 2014,"Pod polštář schovám lásku jako klenot
až s východem slunce uléhám
Krutost je Tvoje druhé jméno
to první zní: Bezbřehá"
204,Život,neděle 16. března 2014,"Těším se, až jednou nedopíšu sloku.
Zmlknu a skončím se svým Říkáním.
Skutečný život chci žít po Tvém boku,
to ostatní je jenom čekání."
205,Čarodějnice,středa 30. dubna 2014,"Pomalu mraky přitečou do údolí,
ohně už hoří a je v nich moře mystiky.
Není tu nikdo, kdo mou bolest uchlácholí,
kdo umlčí mé němé výkřiky…

Co bude ráno, netuším.
S tmou smutek vkrádá se do duší,
v příšeří vyvstane na nich každý šrám.
Za některých večerů je člověk neúnosně sám…"
